Sun 0.083 0 0 6.29892
Earth 0.083 0 0 6.29894
Sun 0.084 0 0 6.29916
Earth 0.084 0 0 6.29918
Sun 0.085 0 0 6.29941
Earth 0.085 0 0 6.29943
Sun 0.086 0 0 6.29965
Earth 0.086 0 0 6.29967
Sun 0.087 0 0 6.2999
Earth 0.087 0 0 6.29992
Sun 0.088 0 0 6.30014
Earth 0.088 0 0 6.30016
Sun 0.089 0 0 6.30039
Earth 0.089 0 0 6.30041
Sun 0.09 0 0 6.30063
Earth 0.09 0 0 6.30065
Sun 0.091 0 0 6.30088
Earth 0.091 0 0 6.3009
Sun 0.092 0 0 6.30112
Earth 0.092 0 0 6.30114
Sun 0.093 0 0 6.30137
Earth 0.093 0 0 6.30139
Sun 0.094 0 0 6.30161
Earth 0.094 0 0 6.30163
Sun 0.095 0 0 6.30186
Earth 0.095 0 0 6.30188
Sun 0.096 0 0 6.3021
Earth 0.096 0 0 6.30212
Sun 0.097 0 0 6.30235
Earth 0.097 0 0 6.30237
Sun 0.098 0 0 6.30259
Earth 0.098 0 0 6.30261
Sun 0.099 0 0 6.30284
Earth 0.099 0 0 6.30285
Sun 0.1 0 0 6.30308
Earth 0.1 0 0 6.3031
Sun 0.101 0 0 6.30333
Earth 0.101 0 0 6.30334
Sun 0.102 0 0 6.30357
Earth 0.102 0 0 6.30359
Sun 0.103 0 0 6.30381
Earth 0.103 0 0 6.30383
Sun 0.104 0 0 6.30406
Earth 0.104 0 0 6.30408
Sun 0.105 0 0 6.3043
Earth 0.105 0 0 6.30432
Sun 0.106 0 0 6.30455
Earth 0.106 0 0 6.30457
Sun 0.107 0 0 6.30479
Earth 0.107 0 0 6.30481
Sun 0.108 0 0 6.30504
Earth 0.108 0 0 6.30506
Sun 0.109 0 0 6.30528
Earth 0.109 0 0 6.3053
Sun 0.11 0 0 6.30553
Earth 0.11 0 0 6.30554
Sun 0.111 0 0 6.30577
Earth 0.111 0 0 6.30579
Sun 0.112 0 0 6.30601
Earth 0.112 0 0 6.30603
Sun 0.113 0 0 6.30626
Earth 0.113 0 0 6.30628
Sun 0.114 0 0 6.3065
Earth 0.114 0 0 6.30652
Sun 0.115 0 0 6.30675
Earth 0.115 0 0 6.30677
Sun 0.116 0 0 6.30699
Earth 0.116 0 0 6.30701
Sun 0.117 0 0 6.30723
Earth 0.117 0 0 6.30725
Sun 0.118 0 0 6.30748
Earth 0.118 0 0 6.3075
Sun 0.119 0 0 6.30772
Earth 0.119 0 0 6.30774
Sun 0.12 0 0 6.30797
Earth 0.12 0 0 6.30799
Sun 0.121 0 0 6.30821
Earth 0.121 0 0 6.30823
Sun 0.122 0 0 6.30845
Earth 0.122 0 0 6.30847
Sun 0.123 0 0 6.3087
Earth 0.123 0 0 6.30872
Sun 0.124 0 0 6.30894
Earth 0.124 0 0 6.30896
Sun 0.125 0 0 6.30919
Earth 0.125 0 0 6.30921
Sun 0.126 0 0 6.30943
Earth 0.126 0 0 6.30945
Sun 0.127 0 0 6.30967
Earth 0.127 0 0 6.30969
Sun 0.128 0 0 6.30992
Earth 0.128 0 0 6.30994
Sun 0.129 0 0 6.31016
Earth 0.129 0 0 6.31018
Sun 0.13 0 0 6.31041
Earth 0.13 0 0 6.31042
Sun 0.131 0 0 6.31065
Earth 0.131 0 0 6.31067
Sun 0.132 0 0 6.31089
Earth 0.132 0 0 6.31091
Sun 0.133 0 0 6.31114
Earth 0.133 0 0 6.31115
Sun 0.134 0 0 6.31138
Earth 0.134 0 0 6.3114
Sun 0.135 0 0 6.31162
Earth 0.135 0 0 6.31164
Sun 0.136 0 0 6.31187
Earth 0.136 0 0 6.31189
Sun 0.137 0 0 6.31211
Earth 0.137 0 0 6.31213
Sun 0.138 0 0 6.31235
Earth 0.138 0 0 6.31237
Sun 0.139 0 0 6.3126
Earth 0.139 0 0 6.31262
Sun 0.14 0 0 6.31284
Earth 0.14 0 0 6.31286
Sun 0.141 0 0 6.31308
Earth 0.141 0 0 6.3131
Sun 0.142 0 0 6.31333
Earth 0.142 0 0 6.31335
Sun 0.143 0 0 6.31357
Earth 0.143 0 0 6.31359
Sun 0.144 0 0 6.31381
Earth 0.144 0 0 6.31383
Sun 0.145 0 0 6.31406
Earth 0.145 0 0 6.31408
Sun 0.146 0 0 6.3143
Earth 0.146 0 0 6.31432
Sun 0.147 0 0 6.31454
Earth 0.147 0 0 6.31456
Sun 0.148 0 0 6.31479
Earth 0.148 0 0 6.3148
Sun 0.149 0 0 6.31503
Earth 0.149 0 0 6.31505
Sun 0.15 0 0 6.31527
Earth 0.15 0 0 6.31529
Sun 0.151 0 0 6.31552
Earth 0.151 0 0 6.31553
Sun 0.152 0 0 6.31576
Earth 0.152 0 0 6.31578
Sun 0.153 0 0 6.316
Earth 0.153 0 0 6.31602
Sun 0.154 0 0 6.31624
Earth 0.154 0 0 6.31626
Sun 0.155 0 0 6.31649
Earth 0.155 0 0 6.31651
Sun 0.156 0 0 6.31673
Earth 0.156 0 0 6.31675
Sun 0.157 0 0 6.31697
Earth 0.157 0 0 6.31699
Sun 0.158 0 0 6.31722
Earth 0.158 0 0 6.31723
Sun 0.159 0 0 6.31746
Earth 0.159 0 0 6.31748
Sun 0.16 0 0 6.3177
Earth 0.16 0 0 6.31772
Sun 0.161 0 0 6.31794
Earth 0.161 0 0 6.31796
Sun 0.162 0 0 6.31819
Earth 0.162 0 0 6.3182
Sun 0.163 0 0 6.31843
Earth 0.163 0 0 6.31845
Sun 0.164 0 0 6.31867
Earth 0.164 0 0 6.31869
Sun 0.165 0 0 6.31891
Earth 0.165 0 0 6.31893
Sun 0.166 0 0 6.31916
Earth 0.166 0 0 6.31917
Sun 0.167 0 0 6.3194
Earth 0.167 0 0 6.31942
Sun 0.168 0 0 6.31964
Earth 0.168 0 0 6.31966
Sun 0.169 0 0 6.31988
Earth 0.169 0 0 6.3199
Sun 0.17 0 0 6.32013
Earth 0.17 0 0 6.32014
Sun 0.171 0 0 6.32037
Earth 0.171 0 0 6.32039
Sun 0.172 0 0 6.32061
Earth 0.172 0 0 6.32063
Sun 0.173 0 0 6.32085
Earth 0.173 0 0 6.32087
Sun 0.174 0 0 6.32109
Earth 0.174 0 0 6.32111
Sun 0.175 0 0 6.32134
Earth 0.175 0 0 6.32136
Sun 0.176 0 0 6.32158
Earth 0.176 0 0 6.3216
Sun 0.177 0 0 6.32182
