MCC  <E>  <E^2>
________________________
1 2.17898 4.74797
2 2.2992 5.30077
3 2.36347 5.60386
4 2.37173 5.63874
5 2.396 5.7541
6 2.37776 5.66646
7 2.36473 5.60386
8 2.32984 5.44711
9 2.30271 5.3252
10 2.29029 5.26726
11 2.29358 5.28048
12 2.30872 5.35101
13 2.32153 5.41069
14 2.3484 5.54402
15 2.3487 5.54354
16 2.34897 5.54311
17 2.34921 5.54273
18 2.33661 5.48506
19 2.33425 5.4728
20 2.3326 5.46396
21 2.33537 5.47593
22 2.33788 5.48681
23 2.34914 5.54144
24 2.35946 5.59151
25 2.36498 5.61736
26 2.37024 5.642
27 2.36859 5.63337
28 2.36705 5.62535
29 2.3573 5.58117
30 2.3482 5.53994
31 2.33969 5.50137
32 2.33877 5.49625
33 2.33526 5.47942
34 2.33195 5.46358
35 2.33588 5.48173
36 2.34572 5.53047
37 2.35197 5.56048
38 2.36623 5.63456
39 2.38117 5.71305
40 2.41186 5.8958
41 2.44555 6.10287
42 2.47614 6.28889
43 2.50689 6.47818
44 2.52942 6.60908
45 2.54613 6.70148
46 2.56211 6.78986
47 2.57741 6.87448
48 2.58617 6.91848
49 2.59835 6.98402
50 2.60455 7.01352
51 2.60131 6.99268
52 2.59592 6.9618
53 2.59142 6.93531
54 2.58413 6.89632
55 2.57669 6.85695
56 2.5683 6.81375
57 2.57021 6.81995
58 2.56876 6.80897
59 2.57003 6.81201
60 2.57664 6.84516
61 2.57678 6.84251
62 2.57528 6.83165
63 2.57383 6.82113
64 2.57242 6.81094
65 2.57235 6.80759
66 2.57388 6.81271
67 2.57594 6.82084
68 2.58138 6.84812
69 2.58666 6.87461
70 2.59178 6.90034
71 2.60149 6.95477
72 2.61093 7.00769
73 2.61885 7.05104
74 2.62471 7.08164
75 2.63226 7.12302
76 2.63154 7.11669
77 2.62986 7.10561
78 2.62653 7.08651
79 2.62538 7.07818
80 2.62097 7.05429
81 2.61946 7.04426
82 2.61798 7.03448
83 2.61654 7.02493
84 2.61514 7.01561
85 2.61376 7.0065
86 2.61071 6.98931
87 2.60697 6.96903
88 2.60333 6.94922
89 2.60406 6.95116
90 2.60792 6.97068
91 2.61199 6.99158
92 2.61339 6.99725
93 2.61353 6.99617
94 2.62138 7.04126
95 2.63017 7.09287
96 2.64158 7.16357
97 2.65029 7.21506
98 2.65032 7.21327
99 2.65723 7.2527
100 2.66149 7.27521
101 2.66566 7.29728
102 2.6727 7.338
103 2.67943 7.37675
104 2.68689 7.4206
105 2.69705 7.48409
106 2.7081 7.55467
107 2.72073 7.63808
108 2.72815 7.68225
109 2.7343 7.71775
110 2.7364 7.72751
111 2.73846 7.7371
112 2.74049 7.74652
113 2.74247 7.75578
114 2.7453 7.77011
115 2.74807 7.7842
116 2.75241 7.80823
117 2.75854 7.84439
118 2.76457 7.87994
119 2.77458 7.94519
120 2.78442 8.00935
121 2.79409 8.07245
122 2.80361 8.13452
123 2.81297 8.19557
124 2.82176 8.25233
125 2.83041 8.30818
126 2.8363 8.34351
127 2.84161 8.37484
128 2.84683 8.40568
129 2.85318 8.4447
130 2.85821 8.47433
131 2.86267 8.5001
132 2.86477 8.5104
133 2.86684 8.52055
134 2.86888 8.53054
135 2.87212 8.54834
136 2.87531 8.56587
137 2.88033 8.59599
138 2.88527 8.62567
139 2.89008 8.65446
140 2.8965 8.69515
141 2.90116 8.72308
142 2.91111 8.79267
143 2.92091 8.86129
144 2.93058 8.92896
145 2.94129 9.00594
146 2.95184 9.08186
147 2.96225 9.15675
148 2.97781 9.28213
149 2.9899 9.37321
150 3.00548 9.49983
151 3.02085 9.62476
152 3.03601 9.74806
153 3.05082 9.86809
154 3.06692 10.0026
155 3.08282 10.1355
156 3.09677 10.2478
157 3.11102 10.3637
158 3.11979 10.4261
159 3.12657 10.4713
160 3.13326 10.516
161 3.13986 10.56
162 3.14632 10.6031
163 3.14921 10.6183
164 3.15206 10.6333
165 3.15451 10.6455
166 3.15868 10.6705
167 3.16279 10.6951
168 3.16417 10.7
169 3.16553 10.7049
170 3.16592 10.7033
171 3.16673 10.7046
172 3.16712 10.7032
173 3.16751 10.7018
174 3.16789 10.7004
175 3.16827 10.699
176 3.1697 10.7047
177 3.1711 10.7102
178 3.1725 10.7157
179 3.17274 10.7136
