1.19 3.03939 9.38518 1.74036
0.24 3.04535 9.47208 1.76471
0.25 3.06708 9.60735 1.82721
0.22 3.06178 9.60793 1.81768
0.27 3.06061 9.57196 1.81277
0.28 3.05979 9.54957 1.81196
0.29 3.05529 9.52789 1.80022
0.26 3.05357 9.51072 1.79699
0.27 3.05113 9.49746 1.79271
0.28 3.04862 9.47714 1.78421
0.33 3.04722 9.48467 1.78334
0.32 3.04699 9.46184 1.77571
0.35 3.04384 9.44122 1.77508
0.36 3.04116 9.42473 1.76799
0.37 3.04085 9.4239 1.76473
0.34 3.04033 9.40178 1.76353
0.35 3.03857 9.42204 1.76019
0.36 3.03693 9.38613 1.75395
0.41 3.03523 9.37014 1.75041
0.42 3.03464 9.369 1.74573
0.43 3.0348 9.36605 1.74613
0.44 3.03337 9.3444 1.74157
0.45 3.03157 9.33723 1.73848
0.46 3.03063 9.34453 1.73476
0.47 3.02921 9.31553 1.72967
0.48 3.03053 9.32503 1.72924
0.49 3.02802 9.31452 1.72706
0.47 3.02712 9.30898 1.72703
0.48 3.02755 9.29938 1.72132
0.49 3.02505 9.29924 1.72033
0.5 3.02546 9.28276 1.71824
0.51 3.02515 9.28411 1.71547
0.52 3.02498 9.28296 1.71603
0.53 3.02307 9.27082 1.71106
0.54 3.02241 9.26019 1.70581
0.53 3.02164 9.25645 1.70774
0.55 3.02332 9.26992 1.70928
0.56 3.02083 9.26308 1.70659
0.57 3.02092 9.26973 1.7069
0.58 3.02023 9.24555 1.70127
0.59 3.01816 9.23342 1.69602
0.59 3.01936 9.24431 1.69818
0.61 3.01852 9.25666 1.69448
0.61 3.01765 9.22609 1.68804
0.62 3.01811 9.23636 1.69229
0.68 3.01694 9.21338 1.69086
0.69 3.0169 9.21964 1.68577
0.7 3.01619 9.21655 1.68593
0.71 3.0154 9.21861 1.68281
0.72 3.01505 9.23368 1.68433
0.73 3.01532 9.21062 1.68379
0.74 3.01522 9.21185 1.68008
0.75 3.01326 9.20294 1.67705
0.76 3.01351 9.24308 1.67335
0.77 3.0144 9.20007 1.67653
0.78 3.01404 9.19419 1.67585
0.79 3.0145 9.19098 1.67255
0.8 3.01314 9.19135 1.6713
0.81 3.01316 9.19619 1.66999
0.82 3.01329 9.18059 1.67226
0.83 3.01188 9.18217 1.66474
0.84 3.01211 9.16546 1.66915
0.85 3.01126 9.17842 1.66512
0.86 3.01178 9.18977 1.66728
0.86 3.01147 9.15845 1.66299
0.87 3.01156 9.18278 1.66584
0.88 3.01158 9.16268 1.65997
0.89 3.01168 9.16295 1.66485
0.9 3.01098 9.15901 1.66317
0.91 3.00904 9.1927 1.65358
0.92 3.00958 9.15846 1.65775
0.94 3.00887 9.18685 1.6546
0.94 3.00987 9.15276 1.65655
0.95 3.00955 9.15054 1.65793
0.96 3.00869 9.14977 1.65198
0.97 3.00953 9.14386 1.6553
0.98 3.00945 9.14058 1.65556
0.99 3.00815 9.18365 1.65122
1 3.00797 9.1645 1.6537
1.01 3.00841 9.14853 1.65256
1.02 3.00883 9.13391 1.65105
1.03 3.00791 9.14379 1.64702
1.04 3.009 9.13237 1.64698
1.05 3.00785 9.13445 1.64636
1.02 3.00831 9.12935 1.64727
1.03 3.00794 9.12587 1.64173
1.04 3.00798 9.13429 1.64485
1.05 3.00701 9.13103 1.64601
1.06 3.00746 9.13011 1.64239
1.08 3.0071 9.12911 1.6426
1.08 3.00679 9.12242 1.63734
1.09 3.00734 9.12556 1.64074
1.1 3.00613 9.10864 1.6319
1.11 3.00664 9.12791 1.64085
1.12 3.00499 9.11155 1.6388
1.17 3.00558 9.12354 1.63855
1.18 3.00532 9.12844 1.6373
0.2 3.01751 9.2008 1.67247
0.21 3.0251 9.27415 1.69805
0.22 3.02975 9.30653 1.71423
