MCC  <E>  <E^2>
________________________
1 4.06577 16.5305
2 4.0718 16.5796
3 4.07381 16.596
4 4.07482 16.6042
5 4.07542 16.6091
6 4.07582 16.6123
7 4.06917 16.5584
8 4.03912 16.321
9 4.01574 16.1364
10 3.99705 15.9887
11 3.97981 15.8531
12 3.96545 15.7401
13 3.9533 15.6444
14 3.94288 15.5625
15 3.93386 15.4914
16 3.92596 15.4293
17 3.91899 15.3744
18 3.91625 15.3522
19 3.92297 15.4049
20 3.92902 15.4524
21 3.9345 15.4953
22 3.93947 15.5343
23 3.94623 15.5879
24 3.95112 15.6265
25 3.95563 15.662
26 3.95078 15.6237
27 3.95466 15.6542
28 3.95825 15.6825
29 3.95506 15.6569
30 3.95285 15.6392
31 3.95068 15.6217
32 3.95289 15.6388
33 3.95167 15.6288
34 3.95107 15.6237
35 3.9505 15.6189
36 3.94599 15.5837
37 3.94233 15.5549
38 3.93886 15.5276
39 3.93556 15.5018
40 3.93244 15.4772
41 3.92408 15.414
42 3.91612 15.3539
43 3.90474 15.2699
44 3.88662 15.1423
45 3.8693 15.0203
46 3.86174 14.9635
47 3.85451 14.909
48 3.84758 14.8568
49 3.84093 14.8067
50 3.83521 14.7633
51 3.82972 14.7217
52 3.82444 14.6816
53 3.81936 14.6431
54 3.81446 14.6059
55 3.80789 14.5571
56 3.7989 14.4922
57 3.79106 14.435
58 3.78432 14.3855
59 3.77782 14.3377
60 3.77619 14.3245
61 3.77461 14.3116
62 3.77544 14.3169
63 3.77625 14.322
64 3.77703 14.327
65 3.78182 14.3637
66 3.78403 14.3799
67 3.78584 14.3929
68 3.78073 14.3551
69 3.77577 14.3184
70 3.7759 14.3185
71 3.77603 14.3186
72 3.77615 14.3187
73 3.7709 14.2802
74 3.76579 14.2428
75 3.75452 14.1666
76 3.7461 14.1079
77 3.73498 14.0331
78 3.72415 13.9603
79 3.71291 13.8854
80 3.70384 13.8234
81 3.69304 13.7515
82 3.68943 13.7245
83 3.6859 13.6982
84 3.68292 13.6756
85 3.68002 13.6537
86 3.68113 13.6607
87 3.68222 13.6675
88 3.68267 13.6696
89 3.68098 13.6562
90 3.67593 13.6202
91 3.671 13.5849
92 3.66921 13.5709
93 3.6675 13.5575
94 3.66449 13.5351
95 3.66298 13.5231
96 3.66149 13.5113
97 3.66004 13.4998
98 3.65632 13.4729
99 3.65137 13.4381
100 3.64652 13.404
101 3.64177 13.3705
102 3.63711 13.3377
103 3.63254 13.3056
104 3.62806 13.2741
105 3.61883 13.215
106 3.60977 13.157
107 3.60561 13.1276
108 3.60153 13.0988
109 3.59753 13.0706
110 3.59049 13.0242
111 3.58357 12.9787
112 3.58261 12.9706
113 3.57971 12.9496
114 3.57687 12.929
115 3.57408 12.9088
116 3.57133 12.8888
117 3.56822 12.8666
118 3.56152 12.8229
119 3.55493 12.78
120 3.54776 12.734
121 3.54071 12.6888
122 3.53168 12.6335
123 3.51991 12.5661
124 3.50833 12.4998
125 3.49694 12.4346
126 3.48573 12.3704
127 3.47405 12.3046
128 3.47145 12.2855
129 3.47007 12.2743
130 3.47203 12.2867
131 3.47247 12.288
132 3.4729 12.2892
133 3.47332 12.2905
134 3.47374 12.2917
135 3.47415 12.2929
136 3.47574 12.3027
137 3.47633 12.3052
138 3.4769 12.3076
139 3.47747 12.31
140 3.47587 12.2977
141 3.47502 12.2904
142 3.47418 12.2831
143 3.47229 12.269
144 3.47391 12.2792
145 3.47439 12.2811
146 3.47274 12.2686
147 3.47218 12.2633
148 3.47163 12.2582
149 3.47109 12.2531
150 3.47113 12.252
151 3.47118 12.251
152 3.47122 12.2499
153 3.47126 12.2489
154 3.47179 12.2513
155 3.47231 12.2537
156 3.47282 12.256
157 3.47215 12.2502
158 3.47366 12.2598
159 3.4753 12.2704
160 3.47651 12.2778
161 3.4777 12.2852
162 3.47686 12.2783
163 3.47293 12.2523
164 3.46904 12.2266
165 3.46549 12.2029
166 3.46274 12.1839
167 3.45749 12.151
168 3.45229 12.1184
169 3.44716 12.0863
170 3.44759 12.0881
171 3.44773 12.0878
172 3.44938 12.0985
173 3.44986 12.1007
174 3.45025 12.1023
175 3.45064 12.1039
176 3.45099 12.1052
177 3.44976 12.0959
178 3.44855 12.0867
179 3.44681 12.0741
180 3.44509 12.0617
181 3.44555 12.0639
182 3.44601 12.066
183 3.44646 12.0681
184 3.4469 12.0702
185 3.44714 12.0708
186 3.44858 12.0801
187 3.44823 12.0767
188 3.44854 12.0779
189 3.44885 12.0791
190 3.44916 12.0802
191 3.44895 12.0778
192 3.44883 12.0761
193 3.44872 12.0743
194 3.44923 12.077
195 3.44798 12.0677
196 3.44453 12.0454
197 3.44111 12.0232
198 3.43677 11.9961
199 3.43372 11.9761
200 3.43069 11.9562
201 3.42699 11.9326
202 3.4242 11.9142
203 3.41758 11.8768
204 3.41572 11.8638
205 3.41388 11.851
206 3.41206 11.8383
207 3.41025 11.8257
208 3.40846 11.8132
209 3.40665 11.8006
210 3.4037 11.7814
211 3.40307 11.7763
212 3.40245 11.7712
213 3.40183 11.7662
214 3.40122 11.7612
215 3.40062 11.7562
216 3.39864 11.7427
217 3.3954 11.7221
218 3.3922 11.7017
219 3.38902 11.6815
220 3.38587 11.6614
221 3.38252 11.6403
222 3.3792 11.6194
223 3.37591 11.5987
224 3.37265 11.5781
225 3.36689 11.5459
226 3.36119 11.5139
227 3.35716 11.4895
228 3.35199 11.46
229 3.34721 11.4322
230 3.34247 11.4046
231 3.33778 11.3773
232 3.33312 11.3503
233 3.32985 11.3299
234 3.32782 11.3163
235 3.3258 11.3028
236 3.3238 11.2894
237 3.32182 11.2762
238 3.3223 11.2784
239 3.3235 11.2857
240 3.3259 11.302
241 3.3273 11.3108
242 3.32644 11.3043
243 3.32674 11.3053
244 3.32698 11.306
245 3.32785 11.3109
246 3.32873 11.3161
247 3.32951 11.3204
248 3.33156 11.3342
249 3.33193 11.3357
250 3.33229 11.3372
251 3.33265 11.3387
252 3.3321 11.3342
253 3.33018 11.3214
254 3.32827 11.3087
255 3.32638 11.2962
256 3.32468 11.2847
257 3.32151 11.2653
258 3.31939 11.2515
259 3.31728 11.2377
260 3.31315 11.2138
261 3.30905 11.1902
262 3.30629 11.173
263 3.30339 11.1551
264 3.30107 11.1403
265 3.29877 11.1256
266 3.29406 11.0995
267 3.28977 11.0752
268 3.28551 11.0511
269 3.28129 11.0272
270 3.27885 11.0118
271 3.27643 10.9966
272 3.27366 10.9795
273 3.27091 10.9626
274 3.26804 10.9452
275 3.26361 10.9206
276 3.25921 10.8963
277 3.25484 10.8721
278 3.25103 10.8503
279 3.24623 10.8245
280 3.24311 10.806
281 3.24031 10.789
282 3.2364 10.767
283 3.23405 10.7523
284 3.23171 10.7377
285 3.22914 10.7219
286 3.22629 10.7048
287 3.22346 10.6878
288 3.22064 10.6709
289 3.21786 10.6542
290 3.21475 10.6359
291 3.21166 10.6178
292 3.20859 10.5998
293 3.2058 10.5831
294 3.20386 10.5708
295 3.19956 10.5476
296 3.1953 10.5247
297 3.19106 10.5019
298 3.18659 10.4782
299 3.18215 10.4547
300 3.17863 10.435
301 3.17505 10.415
302 3.17359 10.4052
303 3.17127 10.391
304 3.16984 10.3815
305 3.16842 10.372
306 3.167 10.3625
307 3.1655 10.3526
308 3.16401 10.3428
309 3.16354 10.3388
310 3.16308 10.3349
311 3.16096 10.3219
312 3.15745 10.3024
313 3.15395 10.2831
314 3.15048 10.2639
315 3.14703 10.2449
316 3.14339 10.2251
317 3.14017 10.207
318 3.13753 10.1916
319 3.13491 10.1762
320 3.13081 10.1548
321 3.12848 10.1409
322 3.12632 10.1277
323 3.12303 10.1096
324 3.11943 10.0902
325 3.11891 10.0859
326 3.11836 10.0815
327 3.11781 10.0771
328 3.11786 10.0763
329 3.11791 10.0755
330 3.11773 10.0733
331 3.11755 10.0712
332 3.1165 10.0639
333 3.11562 10.0577
334 3.11602 10.0591
335 3.11611 10.0587
336 3.11621 10.0582
337 3.11475 10.0488
338 3.1133 10.0395
339 3.11186 10.0302
340 3.11027 10.0201
341 3.10909 10.0122
342 3.10791 10.0044
343 3.10544 9.99011
344 3.10337 9.97773
345 3.10131 9.96542
346 3.09927 9.95317
347 3.09724 9.941
348 3.09492 9.92753
349 3.09262 9.91413
350 3.09091 9.9036
351 3.08922 9.89313
352 3.08753 9.88272
353 3.08586 9.87237
354 3.08524 9.86769
355 3.08462 9.86303
356 3.084 9.8584
357 3.0848 9.86258
358 3.08591 9.8689
359 3.08702 9.87519
360 3.08826 9.88246
361 3.09033 9.89583
362 3.09247 9.90976
363 3.09431 9.92144
364 3.09615 9.93306
365 3.09883 9.95135
366 3.1015 9.96954
367 3.10373 9.98429
368 3.10596 9.99896
369 3.10833 10.0149
370 3.1107 10.0307
371 3.11232 10.0408
372 3.11354 10.048
373 3.11475 10.0551
374 3.11482 10.0546
375 3.11489 10.0541
376 3.11496 10.0536
377 3.11503 10.0531
378 3.11511 10.0527
379 3.11596 10.0573
380 3.11759 10.0676
381 3.11921 10.0778
382 3.12083 10.0879
383 3.12316 10.1037
384 3.12548 10.1194
385 3.12779 10.1349
386 3.12984 10.1484
387 3.13114 10.1563
388 3.13243 10.1641
389 3.13422 10.1757
390 3.13514 10.1809
391 3.13605 10.186
392 3.13621 10.1862
393 3.13651 10.1872
394 3.13772 10.1945
