alpha  <E>  <E^2>  Count
________________________
0.25 5.73341 45.9425 806321
0.3 4.91191 32.9726 787694
0.35 4.33422 25.1334 771041
0.4 3.90051 19.8335 756429
0.45 3.60918 16.6016 741580
0.5 3.38316 14.2609 728186
0.55 3.1907 12.3965 717615
0.6 3.06056 11.171 703991
0.65 2.95218 10.2153 692388
0.7 2.87674 9.55302 682278
0.75 2.80784 8.9865 671394
0.8 2.7679 8.64987 661855
0.85 2.73599 8.3898 651202
0.9 2.71404 8.21372 643062
0.95 2.70419 8.13235 633526
1 2.7 8.1 625704
1.05 2.70288 8.12373 616462
1.1 2.71177 8.19569 608129
1.15 2.72516 8.30518 600269
1.2 2.74549 8.46609 592065
1.25 2.766 8.63757 584639
1.3 2.79528 8.87292 578268
1.35 2.82055 9.08983 570283
1.4 2.85545 9.37532 564555
1.45 2.8895 9.66853 557619
1.5 2.92454 9.97403 550367
1.55 2.95967 10.292 544256
1.6 3.00852 10.6913 536547
1.65 3.05356 11.0871 531185
1.7 3.08522 11.414 524756
1.75 3.1379 11.8703 518445
1.8 3.18366 12.299 513640
1.85 3.23414 12.7643 507175
1.9 3.27254 13.1837 502222
1.95 3.32418 13.69 497196
2 3.37559 14.1815 490990
2.05 3.41792 14.6384 485636
2.1 3.47709 15.2294 480032
2.15 3.53311 15.7815 474460
2.2 3.578 16.3074 470473
2.25 3.62853 16.8456 466014
2.3 3.69742 17.52 461202
2.35 3.75671 18.1388 455486
2.4 3.79748 18.7067 451968
2.45 3.85733 19.3749 446681
2.5 3.91295 20.0079 442541
2.55 3.96453 20.6282 437821
2.6 4.03479 21.3635 434147
2.65 4.09135 22.0697 429243
2.7 4.13813 22.6979 425804
