MCC  <E>  <E^2>
________________________
1 3.16197 9.99808
2 3.19154 10.1868
3 3.20612 10.2802
4 3.21341 10.3269
5 3.20568 10.2773
6 3.19628 10.2175
7 3.18919 10.1723
8 3.18388 10.1385
9 3.17975 10.1122
10 3.1757 10.0864
11 3.16813 10.0389
12 3.15763 9.97354
13 3.14979 9.92461
14 3.12561 9.7802
15 3.11491 9.7143
16 3.10554 9.65663
17 3.09728 9.60575
18 3.08766 9.54714
19 3.07556 9.47447
20 3.06467 9.40907
21 3.05373 9.34376
22 3.04379 9.28439
23 3.03472 9.23017
24 3.01522 9.12008
25 2.99728 9.0188
26 2.98072 8.92531
27 2.96538 8.83874
28 2.95341 8.77013
29 2.94426 8.71687
30 2.93849 8.68231
31 2.9331 8.64999
32 2.92805 8.61969
33 2.92035 8.57516
34 2.91529 8.54511
35 2.90595 8.49241
36 2.89951 8.45514
37 2.89228 8.41382
38 2.88961 8.39739
39 2.88708 8.38179
40 2.88468 8.36698
41 2.88255 8.3538
42 2.88053 8.34124
43 2.88282 8.35365
44 2.88623 8.37286
45 2.88949 8.39121
46 2.89098 8.39902
47 2.89386 8.41515
48 2.89383 8.41414
49 2.8938 8.41317
50 2.8955 8.42236
51 2.89713 8.4312
52 2.8987 8.43969
53 2.90152 8.45577
54 2.90514 8.47676
55 2.90699 8.48701
56 2.90877 8.49689
57 2.90887 8.49689
58 2.91131 8.51078
59 2.91366 8.5242
60 2.91722 8.5451
61 2.92066 8.56532
62 2.92388 8.58426
63 2.92867 8.61311
64 2.9322 8.63404
65 2.93563 8.65433
66 2.93713 8.66278
67 2.93778 8.66605
68 2.9401 8.67955
69 2.94091 8.68385
70 2.94191 8.68929
71 2.94288 8.69457
72 2.94517 8.70798
73 2.9474 8.72102
74 2.9496 8.73387
75 2.95174 8.74639
76 2.95339 8.75592
77 2.95501 8.76521
78 2.95689 8.77619
79 2.95809 8.78298
80 2.95926 8.7896
81 2.9604 8.79606
82 2.96151 8.80236
83 2.9626 8.8085
84 2.96366 8.8145
85 2.96469 8.82036
86 2.96522 8.82318
87 2.96574 8.82593
88 2.96625 8.82862
89 2.96685 8.83188
90 2.96744 8.83508
91 2.96919 8.84539
92 2.97089 8.85548
93 2.97333 8.87021
94 2.97572 8.88462
95 2.97806 8.89874
96 2.97984 8.90933
97 2.98165 8.92013
98 2.98371 8.93255
99 2.98611 8.94713
100 2.98846 8.96141
101 2.99038 8.97293
102 2.99225 8.98423
103 2.99329 8.99022
104 2.9943 8.9961
105 2.99529 9.00187
106 2.99609 9.00644
107 2.99783 9.0169
108 2.99866 9.02164
109 2.99914 9.02428
110 2.99906 9.02353
111 3.00082 9.0342
112 3.00136 9.0372
113 3.00196 9.04058
114 3.00183 9.03954
115 3.0017 9.03852
116 3.00115 9.03499
117 3.00216 9.04096
118 3.00141 9.03629
119 3.00067 9.03169
120 2.99995 9.02718
121 3.00007 9.02767
122 3.00093 9.03269
123 3.00177 9.03762
124 3.00265 9.0428
125 3.00232 9.04062
126 3.00158 9.036
127 3.00116 9.0333
128 2.99974 9.02481
129 2.99978 9.02484
130 2.99981 9.02487
131 2.99984 9.02483
132 2.999 9.01969
133 2.99817 9.01462
134 2.9974 9.00989
135 2.99805 9.01364
136 2.99869 9.01734
137 2.99988 9.02449
138 3.0015 9.03437
139 3.00309 9.04411
140 3.00497 9.05571
141 3.00606 9.06226
142 3.00597 9.06151
143 3.00728 9.0695
144 3.00858 9.07737
145 3.01021 9.08738
146 3.01182 9.09726
147 3.01341 9.107
148 3.0152 9.11809
149 3.01664 9.12691
150 3.0175 9.13203
151 3.01835 9.13709
152 3.0196 9.14474
153 3.02084 9.15229
154 3.02154 9.15642
155 3.02224 9.16051
156 3.02292 9.16454
157 3.02369 9.1691
158 3.02444 9.1736
159 3.02587 9.18237
160 3.02708 9.18976
161 3.02827 9.19706
162 3.02945 9.20428
163 3.03062 9.2114
164 3.03161 9.21742
165 3.03259 9.22336
166 3.0333 9.22757
167 3.03363 9.22941
168 3.03395 9.23124
169 3.03427 9.23304
170 3.03487 9.23658
171 3.03459 9.23476
172 3.03467 9.23506
173 3.03454 9.23417
174 3.03465 9.23467
175 3.03476 9.23517
176 3.03542 9.23913
177 3.03608 9.24305
178 3.03673 9.24693
179 3.0374 9.25096
180 3.03803 9.25469
181 3.03864 9.25838
182 3.03913 9.26123
183 3.03987 9.2657
184 3.04035 9.2685
185 3.04101 9.27247
186 3.04192 9.27804
187 3.04282 9.28356
188 3.04371 9.28899
189 3.0446 9.29437
190 3.04532 9.29877
191 3.04606 9.30324
192 3.04679 9.30767
193 3.04724 9.31032
194 3.04755 9.31211
195 3.04797 9.31457
196 3.04821 9.31593
197 3.04869 9.31875
198 3.04931 9.32247
199 3.04961 9.32419
200 3.04993 9.32605
201 3.05022 9.32773
202 3.05104 9.33275
203 3.05185 9.33772
204 3.05186 9.33765
205 3.05191 9.33784
206 3.05197 9.33808
207 3.05232 9.34017
208 3.05306 9.34467
209 3.05379 9.34912
210 3.05451 9.35354
211 3.055 9.35646
212 3.05573 9.36094
213 3.0564 9.36501
214 3.05707 9.36904
215 3.05772 9.37304
216 3.05818 9.3758
217 3.05864 9.37853
218 3.05847 9.37738
219 3.0583 9.37625
220 3.05873 9.37883
221 3.05916 9.38138
222 3.05942 9.38292
223 3.05969 9.38444
224 3.05985 9.38531
225 3.05956 9.3835
226 3.05915 9.38092
227 3.05874 9.37836
228 3.05798 9.37371
229 3.05643 9.36469
230 3.05503 9.3565
231 3.05365 9.34838
232 3.05275 9.34301
233 3.0517 9.33672
234 3.05065 9.33048
235 3.04993 9.32612
236 3.04943 9.32299
237 3.04952 9.32347
238 3.04962 9.32395
239 3.04951 9.32323
240 3.04941 9.32252
241 3.04936 9.3221
242 3.04968 9.32395
243 3.05018 9.32698
244 3.05068 9.32999
245 3.05113 9.33272
246 3.05124 9.33327
247 3.05134 9.33382
248 3.05177 9.33638
249 3.05191 9.33714
250 3.05197 9.33743
251 3.05203 9.33772
252 3.0523 9.3393
253 3.05259 9.34099
254 3.05288 9.34268
255 3.05335 9.34552
256 3.05382 9.34835
257 3.05428 9.35115
258 3.05474 9.35393
259 3.05532 9.35743
260 3.05588 9.3609
261 3.05634 9.36365
262 3.05679 9.36639
263 3.05709 9.36812
264 3.05694 9.36716
265 3.05652 9.36452
266 3.05616 9.36229
267 3.05554 9.35852
268 3.05492 9.35477
269 3.05463 9.35295
270 3.05435 9.35114
271 3.05406 9.34935
272 3.05344 9.34555
273 3.05282 9.34179
274 3.05253 9.33995
275 3.052 9.33675
276 3.05083 9.32989
277 3.04936 9.32144
278 3.0479 9.31305
279 3.04645 9.30472
280 3.0449 9.29587
281 3.04338 9.28715
282 3.04248 9.2818
283 3.04158 9.27649
284 3.04089 9.27234
285 3.04021 9.26823
286 3.03953 9.26415
287 3.03951 9.26393
288 3.0397 9.26501
289 3.04013 9.26758
290 3.04055 9.27012
291 3.04097 9.27265
292 3.04139 9.27516
293 3.04148 9.27563
294 3.04157 9.27609
295 3.04124 9.274
296 3.04107 9.27288
297 3.04092 9.2719
298 3.04086 9.27145
299 3.04117 9.27331
300 3.04126 9.27375
301 3.04126 9.2737
302 3.04127 9.27365
303 3.04127 9.27359
304 3.04128 9.27354
305 3.04068 9.26994
306 3.04025 9.26729
307 3.03972 9.2641
308 3.03913 9.26055
309 3.03855 9.25703
