MCC  <E>  <E^2>
________________________
1 3.55016 12.6036
2 3.59278 12.9099
3 3.61619 13.0792
4 3.59475 12.9253
5 3.59095 12.8975
6 3.54198 12.5597
7 3.51861 12.396
8 3.48585 12.1721
9 3.45578 11.9683
10 3.44052 11.8626
11 3.43259 11.8064
12 3.41384 11.6799
13 3.39796 11.5728
14 3.38436 11.481
15 3.37233 11.4
16 3.3658 11.3549
17 3.36004 11.3151
18 3.35491 11.2798
19 3.35033 11.2481
20 3.345 11.2118
21 3.33536 11.1482
22 3.31365 11.0127
23 3.30147 10.9339
24 3.2903 10.8617
25 3.28814 10.8462
26 3.28709 10.838
27 3.28611 10.8304
28 3.28521 10.8234
29 3.28421 10.8158
30 3.28886 10.8459
31 3.2932 10.8741
32 3.29727 10.9006
33 3.29946 10.9143
34 3.30801 10.9724
35 3.31876 11.0467
36 3.32149 11.0642
37 3.32325 11.0751
38 3.3236 11.0767
39 3.32801 11.106
40 3.3322 11.1338
41 3.33867 11.1779
42 3.34755 11.2397
43 3.34863 11.2462
44 3.35527 11.2919
45 3.35576 11.2944
46 3.35622 11.2968
47 3.35667 11.2991
48 3.35709 11.3013
49 3.3575 11.3034
50 3.35789 11.3055
51 3.35587 11.2915
52 3.35721 11.3
53 3.35513 11.2857
54 3.35179 11.2634
55 3.34605 11.2262
56 3.34004 11.1875
57 3.32881 11.1191
58 3.31796 11.053
59 3.30747 10.9892
60 3.29734 10.9275
61 3.28963 10.8793
62 3.28668 10.8596
63 3.28383 10.8404
64 3.28107 10.8219
65 3.28053 10.8175
66 3.28196 10.8262
67 3.28334 10.8345
68 3.28264 10.8292
69 3.28197 10.824
70 3.27986 10.8097
71 3.27781 10.7959
72 3.27933 10.8052
73 3.2808 10.8144
74 3.28028 10.8103
75 3.27642 10.7854
76 3.27266 10.7612
77 3.26904 10.7378
78 3.26551 10.7151
79 3.26398 10.7046
80 3.26249 10.6944
81 3.26071 10.6824
82 3.25695 10.6585
83 3.25267 10.6315
84 3.2485 10.6052
85 3.24442 10.5795
86 3.2386 10.5441
87 3.23293 10.5095
88 3.22656 10.4712
89 3.22034 10.4338
90 3.21425 10.3973
91 3.21171 10.3808
92 3.21272 10.3866
93 3.21371 10.3924
94 3.21791 10.4203
95 3.22202 10.4477
96 3.22476 10.4654
97 3.22744 10.4827
98 3.23112 10.5071
99 3.23203 10.5124
100 3.23292 10.5176
101 3.23572 10.5358
102 3.23956 10.5615
103 3.24333 10.5867
104 3.24702 10.6115
105 3.25065 10.6358
106 3.2542 10.6596
107 3.25799 10.6851
108 3.2617 10.7101
109 3.26535 10.7347
110 3.26715 10.7462
111 3.26714 10.7454
112 3.26712 10.7447
113 3.26483 10.7297
114 3.26133 10.7076
115 3.2602 10.6998
116 3.2591 10.6921
117 3.25757 10.6818
118 3.25607 10.6717
119 3.2567 10.6753
120 3.25733 10.6789
121 3.25794 10.6823
122 3.25976 10.694
123 3.26206 10.7091
124 3.26293 10.7143
125 3.26378 10.7194
126 3.26396 10.7201
127 3.26377 10.7183
128 3.26025 10.6964
129 3.2568 10.6749
130 3.25339 10.6537
131 3.25132 10.6403
132 3.24929 10.6271
133 3.24225 10.5874
134 3.23479 10.5459
135 3.22745 10.5051
136 3.21725 10.4527
137 3.20719 10.4012
138 3.19778 10.3522
139 3.18851 10.3039
140 3.17936 10.2563
141 3.17035 10.2094
142 3.16146 10.1632
143 3.1527 10.1176
144 3.14406 10.0726
145 3.13574 10.029
146 3.12753 9.98604
147 3.11944 9.94365
148 3.11165 9.9026
149 3.10346 9.86014
150 3.09458 9.81535
151 3.09136 9.79536
152 3.08817 9.77564
153 3.08503 9.75617
