0.01 0.0148006 0.0226878
0.02 0.0304298 0.0438905
0.03 0.0437661 0.06881
0.04 0.0592161 0.0900384
0.05 0.0732844 0.113418
0.06 0.0876575 0.136257
0.07 0.101554 0.159227
0.08 0.116647 0.180542
0.09 0.131722 0.20122
0.1 0.144701 0.226057
0.11 0.157294 0.25064
0.12 0.171943 0.272488
0.13 0.185293 0.295493
0.14 0.199897 0.317458
0.15 0.214191 0.33913
0.16 0.227275 0.361084
0.17 0.238772 0.386909
0.18 0.255054 0.404568
0.19 0.265639 0.432403
0.2 0.282874 0.447324
0.21 0.295401 0.47158
0.22 0.305403 0.498729
0.23 0.317949 0.523149
0.24 0.332952 0.542102
0.25 0.343374 0.568018
0.26 0.360894 0.582648
0.27 0.370976 0.610743
0.28 0.383398 0.631838
0.29 0.395662 0.654869
0.3 0.407755 0.678602
0.31 0.420933 0.699369
0.32 0.433234 0.721352
0.33 0.442287 0.749674
0.34 0.456753 0.769292
0.35 0.471045 0.787375
0.36 0.48258 0.809639
0.37 0.49106 0.839196
0.38 0.503383 0.859771
0.39 0.516958 0.880579
0.4 0.528841 0.90187
0.41 0.538775 0.927943
0.42 0.550421 0.949646
0.43 0.55987 0.977082
0.44 0.5742 0.991986
0.45 0.582121 1.02062
0.46 0.597318 1.03692
0.47 0.605645 1.06567
0.48 0.616969 1.08684
0.49 0.627797 1.11087
0.5 0.63896 1.13219
0.51 0.653649 1.1478
0.52 0.658977 1.17995
0.53 0.675838 1.19194
0.54 0.681773 1.22419
0.55 0.6945 1.24234
0.56 0.707579 1.25916
0.57 0.715568 1.28735
0.58 0.721941 1.31812
0.59 0.731837 1.3413
0.6 0.742448 1.36436
0.61 0.753451 1.3831
0.62 0.766017 1.40002
0.63 0.775962 1.42311
0.64 0.789682 1.43655
0.65 0.795174 1.4699
0.66 0.803505 1.49634
0.67 0.817305 1.51056
0.68 0.822879 1.54471
0.69 0.834181 1.56111
0.7 0.842759 1.58694
0.71 0.851597 1.60807
0.72 0.86218 1.6318
0.73 0.874775 1.64676
0.74 0.887195 1.65967
0.75 0.89137 1.6977
0.76 0.903125 1.71151
0.77 0.909435 1.74496
0.78 0.918566 1.76417
0.79 0.928667 1.78436
0.8 0.938338 1.80588
0.81 0.945021 1.8331
0.82 0.955031 1.85616
0.83 0.962236 1.88005
0.84 0.973165 1.89727
0.85 0.978307 1.9315
0.86 0.987554 1.95083
0.87 1.00005 1.96653
0.88 1.0102 1.97925
0.89 1.01135 2.0218
0.9 1.02487 2.03321
0.91 1.032 2.05791
0.92 1.04625 2.06892
0.93 1.04982 2.10322
0.94 1.05697 2.12547
0.95 1.06612 2.14975
0.96 1.07482 2.16539
0.97 1.08337 2.18827
0.98 1.08721 2.21977
0.99 1.09799 2.24069
1 1.10453 2.2606
