alpha  <E>  <E^2>
________________________
0.5 551.536 307326
0.55 467.058 220267
0.6 393.762 156401
0.65 328.544 108846
0.7 270.079 73519.8
0.75 216.924 47407.6
0.8 168.087 28449.6
0.85 122.768 15175.7
0.9 80.494 6518.93
0.95 40.687 1664.4
1 3 9
1.05 -32.8544 1087.09
1.1 -67.1765 4538.39
1.15 -100.073 10071.1
1.2 -131.79 17460.9
1.25 -162.464 26527.7
1.3 -192.216 37125.4
1.35 -221.08 49106.3
1.4 -249.128 62368.7
1.45 -276.63 76873.5
